node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
76,87,94.967928,CLUSTER_HEAD,6,667.4660629511218
77,78,96.954595,REGISTERED,5,747.4649331454056
77,88,95.882569,CLUSTER_HEAD,6,667.4660343770452
77,87,94.967928,CLUSTER_HEAD,6,667.4660629511218
78,88,95.882569,CLUSTER_HEAD,6,667.4660343770452
78,87,94.967928,CLUSTER_HEAD,6,667.4660629511218
79,88,95.882569,CLUSTER_HEAD,6,667.4660343770452
79,89,87.731208,CLUSTER_HEAD,7,687.4673244238086
80,81,98.495552,CLUSTER_HEAD,9,707.4693231201514
80,90,75.915211,REGISTERED,10,727.4708843938402
81,82,82.970083,CLUSTER_HEAD,8,687.467882585931
81,92,98.495552,REGISTERED,9,707.46931562324
81,91,78.859778,REGISTERED,10,727.4708853710282
81,90,75.915211,REGISTERED,10,727.4708843938402
82,83,93.223017,REGISTERED,7,667.4666332012738
82,92,98.495552,REGISTERED,9,707.46931562324
83,84,93.423226,CLUSTER_HEAD,7,667.4664797750213
84,85,93.423226,REGISTERED,7,687.4672647911068
84,94,93.208158,CLUSTER_HEAD,8,687.4677643474231
85,86,81.789541,CLUSTER_HEAD,6,667.4660365943471
85,95,80.378551,REGISTERED,7,687.4672760365062
85,94,93.208158,CLUSTER_HEAD,8,687.4677643474231
86,87,94.967928,CLUSTER_HEAD,6,667.4660629511218
86,96,80.378551,REGISTERED,7,687.4672690375627
86,95,80.378551,REGISTERED,7,687.4672760365062
87,88,95.882569,CLUSTER_HEAD,6,667.4660343770452
87,98,87.731208,REGISTERED,7,687.4673502512398
87,97,88.595123,REGISTERED,7,687.4673532639772
88,89,87.731208,CLUSTER_HEAD,7,687.4673244238086
88,98,87.731208,REGISTERED,7,687.4673502512398
89,98,87.731208,REGISTERED,7,687.4673502512398
89,99,85.200978,REGISTERED,8,707.4687888750024
90,91,78.859778,REGISTERED,10,727.4708853710282
91,92,98.495552,REGISTERED,9,707.46931562324
93,94,93.208158,CLUSTER_HEAD,8,687.4677643474231
94,95,80.378551,REGISTERED,7,687.4672760365062
95,96,80.378551,REGISTERED,7,687.4672690375627
96,97,88.595123,REGISTERED,7,687.4673532639772
97,98,87.731208,REGISTERED,7,687.4673502512398
98,99,85.200978,REGISTERED,8,707.4687888750024
