clusterhead_1,clusterhead_2,distance
7,44,352.176643
7,45,317.083993
7,46,294.912566
7,47,304.974833
7,49,365.385775
7,50,626.668062
7,52,512.309336
7,53,439.766424
7,54,409.503834
7,55,416.818399
7,56,369.343277
7,60,668.337906
7,61,611.913091
7,62,547.788752
7,63,509.834086
7,64,498.022204
7,67,448.757988
7,68,470.202506
7,70,702.100535
7,72,615.648224
7,73,576.213557
7,74,564.174584
7,76,528.129630
7,77,525.636577
7,81,731.384256
7,82,675.777189
7,84,606.264572
7,86,609.552376
7,87,596.138055
7,88,586.312173
7,89,635.255935
7,94,682.993452
8,14,293.624442
8,16,152.608844
8,21,501.919979
8,22,429.865427
8,23,386.378008
8,24,305.235385
8,26,190.000003
8,27,159.565917
8,28,145.069012
8,31,541.846949
8,32,470.251264
8,33,412.364670
8,34,327.239615
8,35,271.655133
8,36,223.490271
8,37,223.895832
8,38,219.628638
8,39,267.387886
8,41,569.651342
8,44,376.696081
8,45,336.475338
8,46,306.869483
8,47,307.710148
8,49,346.121412
8,50,659.075703
8,52,538.869936
8,53,463.739479
8,54,430.094575
8,55,431.166566
8,56,374.979236
8,60,698.932119
8,61,640.627286
8,62,571.650936
8,63,531.405572
8,64,513.554774
8,67,448.955244
8,68,461.366637
8,70,729.648527
8,72,637.213638
8,73,595.837327
8,74,576.769422
8,76,530.549694
8,77,523.002788
8,81,754.569606
8,82,696.577014
8,84,618.341778
8,86,612.311660
8,87,593.766449
8,88,580.050898
8,89,624.375348
8,94,692.816166
14,16,146.910533
14,21,209.204800
14,22,141.686638
14,23,106.949500
14,24,63.314140
14,26,191.970099
14,27,246.267475
14,28,333.200647
14,31,265.226368
14,32,211.390598
14,33,162.280952
14,34,140.477293
14,35,181.158518
14,36,226.279758
14,37,302.119727
14,38,384.428804
14,39,454.010449
14,41,306.161157
14,44,223.366561
14,45,243.466911
14,46,282.794990
14,47,344.123220
14,49,505.442478
14,50,398.062411
14,52,334.377265
14,53,293.241176
14,54,296.511257
14,55,348.593531
14,56,371.337094
14,60,450.535460
14,61,409.759958
14,62,386.894401
14,63,370.921596
14,64,405.571779
14,67,466.813429
14,68,538.580332
14,70,503.842052
14,72,465.396485
14,73,443.829122
14,74,483.247901
14,76,519.831417
14,77,549.429569
14,81,562.003301
14,82,526.429932
14,84,524.148395
14,86,589.384492
14,87,610.155807
14,88,625.526851
14,89,698.379303
14,94,609.126517
16,21,351.578812
16,22,278.116992
16,23,233.938840
16,24,152.653722
16,26,92.685117
16,27,121.733618
16,28,194.125503
16,31,389.406830
16,32,319.233851
16,33,261.618774
16,34,183.219332
16,35,150.121987
16,36,140.873312
16,37,194.945168
16,38,255.753649
