timestamp,node_id,log_text
173.559432,23,"Node #23 [ 173.55943] Heard Join Reply from: [7,254]"
173.559432,23,"Node #23 [ 173.55943] 23.[7,1] Sending JOIN_ACK to [7,254] through 31.[7,254] (selected by Neighbors Table)"
173.559459,38,"Node #38 [ 173.55946] ADDRESS RENEW: [4,2] -> [7,254]"
173.559459,38,Node #38 [ 173.55946] Removing 31 from my assigned node ids.
173.559459,38,"Node #38 [ 173.55946] 38.[4,254] Sending NETWORK_UPDATE to [1,254] through 30.[2,254] (selected by Parent)"
173.559470,39,"Node #39 [ 173.55947] ADDRESS RENEW: [4,2] -> [7,254]"
173.559526,30,"Node #30 [ 173.55953] 30.[2,254] Sending NETWORK_UPDATE to [1,254] through 29.[1,254] (selected by Neighbors Table)"
176.702846,20,"Node #20 [ 176.70285] Sent Join Request to [1,254]"
176.702922,29,Node #29 [ 176.70292] Sent Join Reply to: 20
176.702997,20,"Node #20 [ 176.70300] Heard Join Reply from: [1,254]"
176.702997,20,"Node #20 [ 176.70300] 20.[1,1] Sending JOIN_ACK to [1,254] through 29.[1,254] (selected by Neighbors Table)"
184.975078,4,"Node #4  [ 184.97508] Sent Join Request to [5,1]"
184.975096,11,"Node #11 [ 184.97510] Sent Join Request to [5,1]"
184.975140,12,Node #12 [ 184.97514] Heard Join Request from 4
184.975140,12,"Node #12 [ 184.97514] 12.[5,1] Sending NETWORK_REQUEST to [1,254] through 20.[1,1] (selected by Neighbor Network)"
184.975176,12,Node #12 [ 184.97518] Heard Join Request from 11
184.975235,20,"Node #20 [ 184.97523] 20.[1,1] Sending NETWORK_REQUEST to [1,254] through 29.[1,254] (selected by Neighbors Table)"
184.975310,29,"Node #29 [ 184.97531] Sent network reply to [5,1]"
184.975310,29,"Node #29 [ 184.97531] 29.[1,254] Sending NETWORK_REPLY to [5,1] through 21.[3,254] (selected by Networking Table)"
184.975367,21,"Node #21 [ 184.97537] 21.[3,254] Sending NETWORK_REPLY to [5,1] through 13.[5,254] (selected by Neighbor Network)"
184.975439,13,"Node #13 [ 184.97544] 13.[5,254] Sending NETWORK_REPLY to [5,1] through 12.[5,1] (selected by Neighbors Table)"
184.975486,12,"Node #12 [ 184.97549] 12.[8,254] Sending NETWORK_UPDATE to [1,254] through 20.[1,1] (selected by Neighbor Network)"
