timestamp,node_id,event,event_details
39.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 39.1169418689049}"
40.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 40.1169418689049}"
40.175285,41,ARRIVAL,NONE
41.100000,28,PACKET_SENT,"{'dest': [255,255], 'type': 'HEART_BEAT', 'source': [1,254], 'gui': 28, 'role': <Roles.ROOT: 1>, 'addr': [1,254], 'hop_count': 0, 'pos': (581.5014718391535, 521.2070378617059), 'networks': set(), 'ttl': 15, 'create_time': 41.1}"
41.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 41.1169418689049}"
41.175285,41,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 41.175284501527116}"
41.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 41.40192524560643}"
42.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 42.1169418689049}"
42.175285,41,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 42.175284501527116}"
42.398768,11,ARRIVAL,NONE
42.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 42.40192524560643}"
42.982788,13,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 42.98278769061715}"
43.067934,26,ARRIVAL,NONE
43.116942,25,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 43.1169418689049}"
43.175285,41,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 43.175284501527116}"
43.398768,11,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 43.398767544788996}"
43.401925,47,PACKET_SENT,"{'dest': [255,255], 'type': 'PROBE', 'ttl': 1, 'create_time': 43.40192524560643}"
