source_id,target_id,distance
2,20,216.177027
2,21,264.729590
2,22,339.068036
2,23,419.829178
2,24,255.410334
2,25,207.296897
2,26,209.952351
2,27,245.567830
2,28,295.237839
2,29,338.586844
2,30,355.096703
2,31,464.302348
2,32,295.104529
2,33,269.010642
2,34,305.103388
2,35,302.615553
2,36,316.984865
2,37,369.067118
2,38,447.344523
2,39,507.099295
2,40,355.309809
2,41,368.724041
2,42,381.827151
2,43,365.060444
2,44,433.431928
2,45,461.142489
2,46,488.312836
2,47,562.904628
2,48,466.428354
2,49,450.888913
3,4,69.170772
3,5,158.711786
3,6,248.176648
3,7,319.108248
3,8,234.891808
3,9,151.369465
3,10,87.745837
3,11,38.782595
3,12,97.611691
3,13,171.367553
3,14,216.771234
3,15,306.797639
3,16,255.446315
3,17,215.351144
3,18,162.964657
3,19,134.131075
3,20,170.743939
3,21,208.320668
3,22,275.667012
3,23,356.438408
3,24,291.834401
3,25,227.900982
3,26,200.283455
3,27,215.134692
3,28,248.489487
3,29,284.069704
3,30,297.191756
3,31,402.931791
3,32,319.083649
3,33,274.363290
3,34,298.728010
3,35,275.233097
3,36,279.483987
3,37,322.897923
3,38,395.213994
3,39,448.973337
3,40,368.890712
3,41,374.346935
3,42,370.531977
3,43,337.357618
3,44,396.671875
3,45,416.861388
3,46,440.105385
3,47,510.526060
3,48,476.654915
3,49,449.272125
4,5,90.654846
4,6,180.170600
4,7,250.694354
4,8,300.032802
4,9,215.795204
4,10,132.303441
4,11,55.621945
4,12,35.730213
4,13,103.083192
4,14,148.311697
4,15,238.321110
4,16,315.378883
4,17,265.438389
4,18,200.178109
4,19,131.094442
4,20,146.634331
4,21,160.921520
4,22,212.028394
4,23,292.287817
4,24,343.814246
4,25,270.443254
4,26,218.183312
4,27,207.770010
4,28,215.474707
4,29,236.960724
4,30,243.904172
4,31,342.287158
4,32,360.636831
4,33,301.415128
4,34,313.102137
4,35,267.283668
4,36,258.200997
4,37,287.590124
4,38,349.423226
4,39,393.369370
4,40,399.975803
4,41,397.807897
4,42,376.857608
4,43,326.079657
4,44,372.140439
4,45,381.880105
4,46,399.284198
4,47,462.972983
4,48,502.235223
4,49,463.647446
5,6,89.561432
5,7,160.399248
5,8,390.547567
5,9,306.291082
5,10,218.456977
5,11,144.097443
5,12,78.552715
5,13,44.480911
5,14,74.673857
5,15,158.767040
5,16,404.228651
5,17,349.947143
5,18,279.333044
5,19,189.600881
5,20,179.678755
5,21,153.539519
5,22,154.249319
5,23,227.837917
5,24,428.396867
5,25,350.403163
5,26,282.825429
5,27,249.790851
5,28,223.305377
5,29,217.484282
5,30,210.728747
5,31,285.584222
5,32,438.080635
5,33,369.137592
5,34,369.155910
5,35,302.827268
5,36,277.972070
5,37,284.141656
5,38,323.855303
5,39,346.545535
5,40,468.375940
5,41,459.481179
5,42,422.161974
5,43,353.622631
5,44,379.618044
5,45,373.173795
5,46,380.212789
5,47,429.882649
5,48,563.795403
5,49,514.837897
6,7,71.283847
6,8,479.788923
6,9,395.541654
6,10,305.376852
6,11,232.764566
6,12,163.967675
6,13,96.010186
6,14,70.877587
6,15,97.028252
6,16,491.999264
6,17,434.779414
6,18,361.515732
6,19,263.914713
6,20,240.586283
6,21,190.277662
6,22,133.924557
6,23,183.046429
6,24,512.841087
6,25,432.136676
6,26,355.939351
6,27,309.679495
6,28,260.123321
6,29,230.093039
6,30,209.717974
6,31,246.168744
6,32,517.137708
6,33,442.077263
6,34,433.600272
6,35,354.609717
6,36,319.035443
6,37,304.382282
6,38,318.503412
6,39,315.432648
6,40,540.224628
6,41,526.229302
6,42,476.767077
6,43,396.320737
6,44,403.474240
6,45,381.961821
6,46,378.114410
6,47,410.412329
6,48,628.984600
6,49,572.174106
7,8,549.489046
7,9,465.323941
7,10,373.037399
7,11,302.194181
7,12,232.077550
7,13,159.268725
7,14,121.499320
7,15,80.817953
7,16,559.887789
7,17,500.155069
7,18,425.264428
7,19,323.922943
7,20,293.623540
7,21,233.058765
7,22,147.917673
7,23,163.457141
7,24,577.604696
7,25,495.062614
7,26,413.462763
7,27,359.571171
7,28,297.412090
7,29,253.287841
7,30,225.092992
7,31,224.691203
7,32,577.492297
7,33,498.407448
7,34,483.959939
7,35,397.838001
7,36,356.208864
7,37,327.693890
